sample_label,split,case_id,group_name,low_threshold,der,miss,fa,conf,ov_precision,ov_recall,ov_f1,pred_segments,ref_segments
chuyen_ho,test_labeled,data1,chuyen_ho,0.05,50.80076604868389,7.4289349107638705,34.107639434223564,9.264191703696444,0.005877843087145413,0.09480626545754328,0.011069400327269227,1542,632
chuyen_ho,test_labeled,data1,chuyen_ho,0.25,50.80076604868389,7.4289349107638705,34.107639434223564,9.264191703696444,0.005877843087145413,0.09480626545754328,0.011069400327269227,1542,632
chuyen_ho,test_labeled,data1,chuyen_ho,0.35,50.80076604868389,7.4289349107638705,34.107639434223564,9.264191703696444,0.005877843087145413,0.09480626545754328,0.011069400327269227,1542,632
coi_moi,test_labeled,data19,coi_moi,0.05,72.407689798507,17.26571732176153,40.57927195317754,14.562700523567909,0.024819064430714917,0.20183749641113985,0.04420271629778672,1894,669
coi_moi,test_labeled,data19,coi_moi,0.25,72.407689798507,17.26571732176153,40.57927195317754,14.562700523567909,0.024819064430714917,0.20183749641113985,0.04420271629778672,1894,669
coi_moi,test_labeled,data19,coi_moi,0.35,72.407689798507,17.26571732176153,40.57927195317754,14.562700523567909,0.024819064430714917,0.20183749641113985,0.04420271629778672,1894,669
dustin,test_labeled,data52,dustin_1,0.05,44.07798575411873,13.865163665020274,20.516570893190515,9.696251195907944,0.02574052515845298,0.2105820105820106,0.045873674504379895,1643,785
dustin,test_labeled,data52,dustin_1,0.25,44.07798575411873,13.865163665020274,20.516570893190515,9.696251195907944,0.02574052515845298,0.2105820105820106,0.045873674504379895,1643,785
dustin,test_labeled,data52,dustin_1,0.35,44.07798575411873,13.865163665020274,20.516570893190515,9.696251195907944,0.02574052515845298,0.2105820105820106,0.045873674504379895,1643,785
vif,test_labeled,data56,vif_1,0.05,18.248034019675117,13.621990421689112,4.45591295696807,0.17013064101793735,0.0,0.0,0.0,1421,625
vif,test_labeled,data56,vif_1,0.25,18.248034019675117,13.621990421689112,4.45591295696807,0.17013064101793735,0.0,0.0,0.0,1421,625
vif,test_labeled,data56,vif_1,0.35,18.248034019675117,13.621990421689112,4.45591295696807,0.17013064101793735,0.0,0.0,0.0,1421,625
vivo_ov0,test_data,data2,vivo,0.05,30.539249220331055,15.943176172905208,8.376134855729449,6.219938191696401,0.0,0.0,0.0,450,257
vivo_ov0,test_data,data2,vivo,0.25,30.539249220331055,15.943176172905208,8.376134855729449,6.219938191696401,0.0,0.0,0.0,450,257
vivo_ov0,test_data,data2,vivo,0.35,30.539249220331055,15.943176172905208,8.376134855729449,6.219938191696401,0.0,0.0,0.0,450,257
vivo_ov10,test_data,data11,vivo,0.05,26.148137635927547,14.6841727101088,8.451260635115155,3.0127042907035926,0.6608362369337979,0.5177723177723177,0.5806214602785856,533,285
vivo_ov10,test_data,data11,vivo,0.25,26.148137635927547,14.6841727101088,8.451260635115155,3.0127042907035926,0.6608362369337979,0.5177723177723177,0.5806214602785856,533,285
vivo_ov10,test_data,data11,vivo,0.35,26.148137635927547,14.6841727101088,8.451260635115155,3.0127042907035926,0.6608362369337979,0.5177723177723177,0.5806214602785856,533,285
vivo_ov5,test_data,data56,vivo,0.05,27.654251832686246,15.907580375068974,7.969541009329789,3.777130448287481,0.6512088222819171,0.5466413482079279,0.5943609265113878,489,257
vivo_ov5,test_data,data56,vivo,0.25,27.654251832686246,15.907580375068974,7.969541009329789,3.777130448287481,0.6512088222819171,0.5466413482079279,0.5943609265113878,489,257
vivo_ov5,test_data,data56,vivo,0.35,27.654251832686246,15.907580375068974,7.969541009329789,3.777130448287481,0.6512088222819171,0.5466413482079279,0.5943609265113878,489,257
