checkpoint_label,sample_label,noise_group,split,case_id,group_name,noise_pct,n_speakers,overlap_count,overlap_bucket,low_threshold,ref_segments,pred_segments,raw_segments,vbx_segments,der,miss,fa,conf,ov_precision,ov_recall,ov_f1,skipped,skip_reason,run_json,stdout_log,stderr_log,hyp_rttm,raw_rttm
baseline,data62 | ov5 | 23% noise,with noise,test_data,data62,vivo,23.0,4,5.0,ov5,0.25,294,203,203,203,66.40562376280421,23.58305234475452,18.058728138643012,24.76384327940668,0.18435613682092555,0.1357910337161912,0.15639001493492644,False,,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\baseline\thr_025\test_data\data62\result.json,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\baseline\thr_025\test_data\data62\stdout.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\baseline\thr_025\test_data\data62\stderr.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\baseline\thr_025\test_data\data62\forensics_baseline__thr025__test_data__data62\hyp_low025.rttm,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\baseline\thr_025\test_data\data62\forensics_baseline__thr025__test_data__data62\raw_low025.rttm
best_model,data11 | ov10 | 0% noise,0% noise,test_data,data11,vivo,0.0,2,10.0,ov10,0.05,285,402,402,402,3.551815148963908,1.69739544397403,1.5938245917176483,0.26059511327222856,0.9775221238938053,0.9046683046683046,0.9396852403232667,False,,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_005\test_data\data11\result.json,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_005\test_data\data11\stdout.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_005\test_data\data11\stderr.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_005\test_data\data11\forensics_best_model__thr005__test_data__data11\hyp_low005.rttm,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_005\test_data\data11\forensics_best_model__thr005__test_data__data11\raw_low005.rttm
best_model,data11 | ov10 | 0% noise,0% noise,test_data,data11,vivo,0.0,2,10.0,ov10,0.25,285,402,402,402,3.551815148963908,1.69739544397403,1.5938245917176483,0.26059511327222856,0.9775221238938053,0.9046683046683046,0.9396852403232667,False,,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_025\test_data\data11\result.json,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_025\test_data\data11\stdout.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_025\test_data\data11\stderr.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_025\test_data\data11\forensics_best_model__thr025__test_data__data11\hyp_low025.rttm,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_025\test_data\data11\forensics_best_model__thr025__test_data__data11\raw_low025.rttm
best_model,data2 | ov0 | 0% noise,0% noise,test_data,data2,vivo,0.0,2,0.0,ov0,0.05,257,352,352,352,16.120668079442492,3.6106546378979596,1.2361859194823683,11.273827522062165,0.015151515151515152,0.01282051282051282,0.013888888888888888,False,,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_005\test_data\data2\result.json,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_005\test_data\data2\stdout.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_005\test_data\data2\stderr.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_005\test_data\data2\forensics_best_model__thr005__test_data__data2\hyp_low005.rttm,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_005\test_data\data2\forensics_best_model__thr005__test_data__data2\raw_low005.rttm
best_model,data2 | ov0 | 0% noise,0% noise,test_data,data2,vivo,0.0,2,0.0,ov0,0.25,257,352,352,352,16.120668079442492,3.6106546378979596,1.2361859194823683,11.273827522062165,0.015151515151515152,0.01282051282051282,0.013888888888888888,False,,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_025\test_data\data2\result.json,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_025\test_data\data2\stdout.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_025\test_data\data2\stderr.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_025\test_data\data2\forensics_best_model__thr025__test_data__data2\hyp_low025.rttm,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_025\test_data\data2\forensics_best_model__thr025__test_data__data2\raw_low025.rttm
best_model,data56 | ov5 | 0% noise,0% noise,test_data,data56,vivo,0.0,2,5.0,ov5,0.05,257,348,348,348,21.384661648157575,2.7412805619032232,1.390848652545773,17.25253243370858,0.9640307907627712,0.8174697365297888,0.8847215978421425,False,,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_005\test_data\data56\result.json,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_005\test_data\data56\stdout.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_005\test_data\data56\stderr.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_005\test_data\data56\forensics_best_model__thr005__test_data__data56\hyp_low005.rttm,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_005\test_data\data56\forensics_best_model__thr005__test_data__data56\raw_low005.rttm
best_model,data56 | ov5 | 0% noise,0% noise,test_data,data56,vivo,0.0,2,5.0,ov5,0.25,257,348,348,348,21.384661648157575,2.7412805619032232,1.390848652545773,17.25253243370858,0.9640307907627712,0.8174697365297888,0.8847215978421425,False,,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_025\test_data\data56\result.json,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_025\test_data\data56\stdout.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_025\test_data\data56\stderr.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_025\test_data\data56\forensics_best_model__thr025__test_data__data56\hyp_low025.rttm,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_025\test_data\data56\forensics_best_model__thr025__test_data__data56\raw_low025.rttm
best_model,data14 | ov10 | 17% noise,with noise,test_data,data14,vivo,17.0,3,10.0,ov10,0.05,324,460,460,460,23.17144955440696,4.464912543547113,1.9373362963746743,16.769200714485173,0.9720413026211279,0.7535714285714286,0.848976760319112,False,,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_005\test_data\data14\result.json,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_005\test_data\data14\stdout.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_005\test_data\data14\stderr.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_005\test_data\data14\forensics_best_model__thr005__test_data__data14\hyp_low005.rttm,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_005\test_data\data14\forensics_best_model__thr005__test_data__data14\raw_low005.rttm
best_model,data14 | ov10 | 17% noise,with noise,test_data,data14,vivo,17.0,3,10.0,ov10,0.25,324,460,460,460,23.17144955440696,4.464912543547113,1.9373362963746743,16.769200714485173,0.9720413026211279,0.7535714285714286,0.848976760319112,False,,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_025\test_data\data14\result.json,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_025\test_data\data14\stdout.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_025\test_data\data14\stderr.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_025\test_data\data14\forensics_best_model__thr025__test_data__data14\hyp_low025.rttm,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_025\test_data\data14\forensics_best_model__thr025__test_data__data14\raw_low025.rttm
best_model,data5 | ov0 | 23% noise,with noise,test_data,data5,vivo,23.0,3,0.0,ov0,0.05,237,328,328,328,10.486434340864195,2.409460118525441,2.8978391733765045,5.179135048962246,0.015151515151515152,0.03225806451612903,0.020618556701030927,False,,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_005\test_data\data5\result.json,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_005\test_data\data5\stdout.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_005\test_data\data5\stderr.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_005\test_data\data5\forensics_best_model__thr005__test_data__data5\hyp_low005.rttm,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_005\test_data\data5\forensics_best_model__thr005__test_data__data5\raw_low005.rttm
best_model,data5 | ov0 | 23% noise,with noise,test_data,data5,vivo,23.0,3,0.0,ov0,0.25,237,328,328,328,10.486434340864195,2.409460118525441,2.8978391733765045,5.179135048962246,0.015151515151515152,0.03225806451612903,0.020618556701030927,False,,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_025\test_data\data5\result.json,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_025\test_data\data5\stdout.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_025\test_data\data5\stderr.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_025\test_data\data5\forensics_best_model__thr025__test_data__data5\hyp_low025.rttm,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_025\test_data\data5\forensics_best_model__thr025__test_data__data5\raw_low025.rttm
best_model,data62 | ov5 | 23% noise,with noise,test_data,data62,vivo,23.0,4,5.0,ov5,0.05,294,407,407,407,18.3844030838667,5.575817631000487,1.7554551619880607,11.053130290878153,0.9623465211459754,0.6533901444979622,0.7783294714774358,False,,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_005\test_data\data62\result.json,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_005\test_data\data62\stdout.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_005\test_data\data62\stderr.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_005\test_data\data62\forensics_best_model__thr005__test_data__data62\hyp_low005.rttm,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_005\test_data\data62\forensics_best_model__thr005__test_data__data62\raw_low005.rttm
best_model,data62 | ov5 | 23% noise,with noise,test_data,data62,vivo,23.0,4,5.0,ov5,0.25,294,407,407,407,18.3844030838667,5.575817631000487,1.7554551619880607,11.053130290878153,0.9623465211459754,0.6533901444979622,0.7783294714774358,False,,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_025\test_data\data62\result.json,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_025\test_data\data62\stdout.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_025\test_data\data62\stderr.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_025\test_data\data62\forensics_best_model__thr025__test_data__data62\hyp_low025.rttm,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_vivo_noise_report_pyannote\runs\best_model\thr_025\test_data\data62\forensics_best_model__thr025__test_data__data62\raw_low025.rttm
