checkpoint_label,sample_label,split,case_id,group_name,noise_pct,n_speakers,overlap_count,overlap_bucket,low_threshold,ref_segments,pred_segments,raw_segments,vbx_segments,der,miss,fa,conf,ov_precision,ov_recall,ov_f1,skipped,skip_reason,run_json,stdout_log,stderr_log,hyp_rttm,raw_rttm,noise_group
baseline,data62 | ov5 | 23% noise,test_data,data62,vivo,23.0,4,5.0,ov5,0.25,294,540,540,540,33.67388616453661,17.68294997784895,7.737781901457069,8.253154285230595,0.6564743419303377,0.4573916265283438,0.5391418277104487,False,,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_025\test_data\data62\result.json,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_025\test_data\data62\stdout.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_025\test_data\data62\stderr.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_025\test_data\data62\forensics_baseline__thr025__test_data__data62\hyp_low025.rttm,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\baseline\thr_025\test_data\data62\forensics_baseline__thr025__test_data__data62\raw_low025.rttm,with noise
best_model,data11 | ov10 | 0% noise,test_data,data11,vivo,0.0,2,10.0,ov10,0.05,285,387,387,387,18.840415866452208,0.30483177551526935,18.00504403917736,0.5305400517595823,0.47236768654137534,0.9702429702429703,0.6353917116601708,False,,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_005\test_data\data11\result.json,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_005\test_data\data11\stdout.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_005\test_data\data11\stderr.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_005\test_data\data11\forensics_best_model__thr005__test_data__data11\hyp_low005.rttm,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_005\test_data\data11\forensics_best_model__thr005__test_data__data11\raw_low005.rttm,0% noise
best_model,data11 | ov10 | 0% noise,test_data,data11,vivo,0.0,2,10.0,ov10,0.25,285,365,365,365,8.481608383787464,0.13235272968837075,8.295045146074436,0.05421050802465691,0.664918987802658,0.9971061971061971,0.7978156400174748,False,,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_025\test_data\data11\result.json,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_025\test_data\data11\stdout.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_025\test_data\data11\stderr.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_025\test_data\data11\forensics_best_model__thr025__test_data__data11\hyp_low025.rttm,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_025\test_data\data11\forensics_best_model__thr025__test_data__data11\raw_low025.rttm,0% noise
best_model,data2 | ov0 | 0% noise,test_data,data2,vivo,0.0,2,0.0,ov0,0.05,257,348,348,348,23.86706646420145,0.00974943012307876,21.73781789421607,2.119499139862301,0.004072297221912306,0.9358974358974358,0.008109309042435014,False,,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_005\test_data\data2\result.json,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_005\test_data\data2\stdout.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_005\test_data\data2\stderr.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_005\test_data\data2\forensics_best_model__thr005__test_data__data2\hyp_low005.rttm,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_005\test_data\data2\forensics_best_model__thr005__test_data__data2\raw_low005.rttm,0% noise
best_model,data2 | ov0 | 0% noise,test_data,data2,vivo,0.0,2,0.0,ov0,0.25,257,326,326,326,7.39057965179519,0.2479540779615101,6.652836985537158,0.4897885882965229,0.009158307893589184,0.5384615384615384,0.018010291595197254,False,,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_025\test_data\data2\result.json,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_025\test_data\data2\stdout.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_025\test_data\data2\stderr.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_025\test_data\data2\forensics_best_model__thr025__test_data__data2\hyp_low025.rttm,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_025\test_data\data2\forensics_best_model__thr025__test_data__data2\raw_low025.rttm,0% noise
best_model,data56 | ov5 | 0% noise,test_data,data56,vivo,0.0,2,5.0,ov5,0.05,257,440,440,440,27.721168643262033,0.18844730068718624,25.938667849592928,1.5940534929819177,0.22223737318642955,0.9671255637313079,0.36142280569477087,False,,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_005\test_data\data56\result.json,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_005\test_data\data56\stdout.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_005\test_data\data56\stderr.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_005\test_data\data56\forensics_best_model__thr005__test_data__data56\hyp_low005.rttm,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_005\test_data\data56\forensics_best_model__thr005__test_data__data56\raw_low005.rttm,0% noise
best_model,data56 | ov5 | 0% noise,test_data,data56,vivo,0.0,2,5.0,ov5,0.25,257,388,388,388,12.377722695836171,0.43133961856251296,9.47113663031765,2.4752464469560085,0.4610407565116408,0.9894374554948967,0.628993926590969,False,,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_025\test_data\data56\result.json,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_025\test_data\data56\stdout.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_025\test_data\data56\stderr.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_025\test_data\data56\forensics_best_model__thr025__test_data__data56\hyp_low025.rttm,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_025\test_data\data56\forensics_best_model__thr025__test_data__data56\raw_low025.rttm,0% noise
best_model,data14 | ov10 | 17% noise,test_data,data14,vivo,17.0,3,10.0,ov10,0.05,324,624,624,624,35.98774428786257,0.4285739909575737,29.19745525837544,6.361715038529558,0.38179444193693984,0.9722906403940886,0.5482892726515116,False,,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_005\test_data\data14\result.json,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_005\test_data\data14\stdout.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_005\test_data\data14\stderr.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_005\test_data\data14\forensics_best_model__thr005__test_data__data14\hyp_low005.rttm,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_005\test_data\data14\forensics_best_model__thr005__test_data__data14\raw_low005.rttm,with noise
best_model,data14 | ov10 | 17% noise,test_data,data14,vivo,17.0,3,10.0,ov10,0.25,324,518,518,518,23.001420854114023,2.214659107580252,13.800852223157017,6.985909523376755,0.6019700551615444,0.9407635467980295,0.7341662662181643,False,,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_025\test_data\data14\result.json,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_025\test_data\data14\stdout.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_025\test_data\data14\stderr.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_025\test_data\data14\forensics_best_model__thr025__test_data__data14\hyp_low025.rttm,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_025\test_data\data14\forensics_best_model__thr025__test_data__data14\raw_low025.rttm,with noise
best_model,data5 | ov0 | 23% noise,test_data,data5,vivo,23.0,3,0.0,ov0,0.05,237,406,406,406,26.4825408242936,0.14498690645717482,24.463401870523597,1.874152047312829,0.0030508474576271187,0.870967741935484,0.006080396351762189,False,,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_005\test_data\data5\result.json,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_005\test_data\data5\stdout.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_005\test_data\data5\stderr.log,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_005\test_data\data5\forensics_best_model__thr005__test_data__data5\hyp_low005.rttm,D:\infe\threshold_sweep_vivo_noise_report_optimized\runs\best_model\thr_005\test_data\data5\forensics_best_model__thr005__test_data__data5\raw_low005.rttm,with noise
