checkpoint_label,noise_group,sample_label,case_id,noise_pct,overlap_bucket,low_threshold,der,miss,fa,conf,ov_precision,ov_recall,ov_f1,pred_segments,ref_segments
best_model,0% noise,data56 | ov5 | 0% noise,data56,0.0,ov5,0.25,12.377722695836171,0.43133961856251296,9.47113663031765,2.4752464469560085,0.4610407565116408,0.9894374554948967,0.628993926590969,388,257
best_model,with noise,data14 | ov10 | 17% noise,data14,17.0,ov10,0.05,35.98774428786257,0.4285739909575737,29.19745525837544,6.361715038529558,0.38179444193693984,0.9722906403940886,0.5482892726515116,624,324
best_model,with noise,data14 | ov10 | 17% noise,data14,17.0,ov10,0.25,23.001420854114023,2.214659107580252,13.800852223157017,6.985909523376755,0.6019700551615444,0.9407635467980295,0.7341662662181643,518,324
best_model,with noise,data5 | ov0 | 23% noise,data5,23.0,ov0,0.05,26.4825408242936,0.14498690645717482,24.463401870523597,1.874152047312829,0.0030508474576271187,0.870967741935484,0.006080396351762189,406,237
best_model,with noise,data5 | ov0 | 23% noise,data5,23.0,ov0,0.25,15.368263382694838,1.7756648785696927,11.661187242408065,1.9314112617170813,0.005626406601650412,0.48387096774193544,0.011123470522803115,328,237
best_model,with noise,data62 | ov5 | 23% noise,data62,23.0,ov5,0.05,29.111969444583302,0.4195688420889073,25.84451688506844,2.847883717425955,0.2868392393398676,0.9514635050018526,0.4407921556847683,512,294
best_model,with noise,data62 | ov5 | 23% noise,data62,23.0,ov5,0.25,14.895862176489077,1.3597912706525672,11.463397150452924,2.072673755383585,0.5279560985711327,0.9446091144868469,0.6773379383634431,405,294
ep004_phase1_top4_anchor,0% noise,data11 | ov10 | 0% noise,data11,0.0,ov10,0.05,8.349911825928132,0.047718619746036785,8.276515877705073,0.025677328477022213,0.6075465425531915,0.9978159978159978,0.7552433102593242,441,285
ep004_phase1_top4_anchor,0% noise,data11 | ov10 | 0% noise,data11,0.0,ov10,0.25,4.111571529451082,0.18897328748527445,3.8630385924730044,0.05955964949280293,0.7661486770264595,0.996014196014196,0.8660890207715133,403,285
ep004_phase1_top4_anchor,0% noise,data2 | ov0 | 0% noise,data2,0.0,ov0,0.05,11.224834659211574,0.05276399009627046,10.459411740678206,0.7126589284371001,0.005922589255922589,0.9102564102564101,0.011768606000331512,428,257
