sample_label,split,case_id,group_name,low_threshold,der,miss,fa,conf,ov_precision,ov_recall,ov_f1,pred_segments,ref_segments
chuyen_ho,test_labeled,data1,chuyen_ho,0.05,41.19097226649524,1.9144253380304364,33.417648963666196,5.858897964798598,0.034254442267414364,0.4179719703215169,0.06331959535406519,1039,632
chuyen_ho,test_labeled,data1,chuyen_ho,0.15,41.19097226649524,1.9144253380304364,33.417648963666196,5.858897964798598,0.034254442267414364,0.4179719703215169,0.06331959535406519,1039,632
chuyen_ho,test_labeled,data1,chuyen_ho,0.25,41.19097226649524,1.9144253380304364,33.417648963666196,5.858897964798598,0.034254442267414364,0.4179719703215169,0.06331959535406519,1039,632
chuyen_ho,test_labeled,data1,chuyen_ho,0.35,41.19097226649524,1.9144253380304364,33.417648963666196,5.858897964798598,0.034254442267414364,0.4179719703215169,0.06331959535406519,1039,632
chuyen_ho,test_labeled,data1,chuyen_ho,0.45,41.19097226649524,1.9144253380304364,33.417648963666196,5.858897964798598,0.034254442267414364,0.4179719703215169,0.06331959535406519,1039,632
coi_moi,test_labeled,data19,coi_moi,0.05,60.07520376693039,6.176076551083962,41.67460385567941,12.224523360167021,0.0719010641357492,0.5742176284811944,0.12779961021118885,1407,669
coi_moi,test_labeled,data19,coi_moi,0.15,60.07520376693039,6.176076551083962,41.67460385567941,12.224523360167021,0.0719010641357492,0.5742176284811944,0.12779961021118885,1407,669
coi_moi,test_labeled,data19,coi_moi,0.25,60.07520376693039,6.176076551083962,41.67460385567941,12.224523360167021,0.0719010641357492,0.5742176284811944,0.12779961021118885,1407,669
coi_moi,test_labeled,data19,coi_moi,0.35,60.07520376693039,6.176076551083962,41.67460385567941,12.224523360167021,0.0719010641357492,0.5742176284811944,0.12779961021118885,1407,669
coi_moi,test_labeled,data19,coi_moi,0.45,60.07520376693039,6.176076551083962,41.67460385567941,12.224523360167021,0.0719010641357492,0.5742176284811944,0.12779961021118885,1407,669
dustin,test_labeled,data52,dustin_1,0.05,26.349473450290994,3.992133796279805,16.029133060886654,6.328206593124534,0.06546189814229748,0.2740740740740741,0.10568193410180557,1227,785
dustin,test_labeled,data52,dustin_1,0.15,26.349473450290994,3.992133796279805,16.029133060886654,6.328206593124534,0.06546189814229748,0.2740740740740741,0.10568193410180557,1227,785
dustin,test_labeled,data52,dustin_1,0.25,26.349473450290994,3.992133796279805,16.029133060886654,6.328206593124534,0.06546189814229748,0.2740740740740741,0.10568193410180557,1227,785
dustin,test_labeled,data52,dustin_1,0.35,26.349473450290994,3.992133796279805,16.029133060886654,6.328206593124534,0.06546189814229748,0.2740740740740741,0.10568193410180557,1227,785
dustin,test_labeled,data52,dustin_1,0.45,26.349473450290994,3.992133796279805,16.029133060886654,6.328206593124534,0.06546189814229748,0.2740740740740741,0.10568193410180557,1227,785
vif,test_labeled,data56,vif_1,0.05,6.809724529121475,2.8855340558661884,3.617341550482566,0.3068489227727205,0.0,0.0,0.0,704,625
vif,test_labeled,data56,vif_1,0.15,6.809724529121475,2.8855340558661884,3.617341550482566,0.3068489227727205,0.0,0.0,0.0,704,625
vif,test_labeled,data56,vif_1,0.25,6.809724529121475,2.8855340558661884,3.617341550482566,0.3068489227727205,0.0,0.0,0.0,704,625
vif,test_labeled,data56,vif_1,0.35,6.809724529121475,2.8855340558661884,3.617341550482566,0.3068489227727205,0.0,0.0,0.0,704,625
vif,test_labeled,data56,vif_1,0.45,6.809724529121475,2.8855340558661884,3.617341550482566,0.3068489227727205,0.0,0.0,0.0,704,625
vivo_ov0,test_data,data2,vivo,0.05,16.392995598728817,3.608359236063382,1.2326457227265792,11.551990639938857,0.03061224489795918,0.03846153846153846,0.03409090909090908,360,257
vivo_ov0,test_data,data2,vivo,0.15,16.392995598728817,3.608359236063382,1.2326457227265792,11.551990639938857,0.03061224489795918,0.03846153846153846,0.03409090909090908,360,257
vivo_ov0,test_data,data2,vivo,0.25,16.392995598728817,3.608359236063382,1.2326457227265792,11.551990639938857,0.03061224489795918,0.03846153846153846,0.03409090909090908,360,257
vivo_ov0,test_data,data2,vivo,0.35,16.392995598728817,3.608359236063382,1.2326457227265792,11.551990639938857,0.03061224489795918,0.03846153846153846,0.03409090909090908,360,257
vivo_ov0,test_data,data2,vivo,0.45,16.392995598728817,3.608359236063382,1.2326457227265792,11.551990639938857,0.03061224489795918,0.03846153846153846,0.03409090909090908,360,257
vivo_ov10,test_data,data11,vivo,0.05,3.56046554445468,1.7184247746299903,1.575413035288254,0.26662773453643496,0.979132182549066,0.9043407043407042,0.9402514830688881,403,285
vivo_ov10,test_data,data11,vivo,0.15,3.56046554445468,1.7184247746299903,1.575413035288254,0.26662773453643496,0.979132182549066,0.9043407043407042,0.9402514830688881,403,285
vivo_ov10,test_data,data11,vivo,0.25,3.56046554445468,1.7184247746299903,1.575413035288254,0.26662773453643496,0.979132182549066,0.9043407043407042,0.9402514830688881,403,285
vivo_ov10,test_data,data11,vivo,0.35,3.56046554445468,1.7184247746299903,1.575413035288254,0.26662773453643496,0.979132182549066,0.9043407043407042,0.9402514830688881,403,285
vivo_ov10,test_data,data11,vivo,0.45,3.56046554445468,1.7184247746299903,1.575413035288254,0.26662773453643496,0.979132182549066,0.9043407043407042,0.9402514830688881,403,285
vivo_ov5,test_data,data56,vivo,0.05,20.756489084968177,2.7035008291335263,1.3349414724974185,16.718046783337233,0.9720826353992184,0.8264894374554949,0.8933932007697242,345,257
vivo_ov5,test_data,data56,vivo,0.15,20.756489084968177,2.7035008291335263,1.3349414724974185,16.718046783337233,0.9720826353992184,0.8264894374554949,0.8933932007697242,345,257
vivo_ov5,test_data,data56,vivo,0.25,20.756489084968177,2.7035008291335263,1.3349414724974185,16.718046783337233,0.9720826353992184,0.8264894374554949,0.8933932007697242,345,257
vivo_ov5,test_data,data56,vivo,0.35,20.756489084968177,2.7035008291335263,1.3349414724974185,16.718046783337233,0.9720826353992184,0.8264894374554949,0.8933932007697242,345,257
vivo_ov5,test_data,data56,vivo,0.45,20.756489084968177,2.7035008291335263,1.3349414724974185,16.718046783337233,0.9720826353992184,0.8264894374554949,0.8933932007697242,345,257
