checkpoint_label,sample_label,split,case_id,group_name,n_speakers,overlap_count,overlap_bucket,low_threshold,ref_segments,pred_segments,raw_segments,vbx_segments,der,miss,fa,conf,ov_precision,ov_recall,ov_f1,skipped,skip_reason,run_json,stdout_log,stderr_log,hyp_rttm,raw_rttm
best_model,dustin,test_labeled,data52,dustin_1,3,0.0,ov0,0.05,785,1227,1227,1227,26.349473450290994,3.992133796279805,16.029133060886654,6.328206593124534,0.06546189814229748,0.2740740740740741,0.10568193410180557,False,,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_005\test_labeled\data52\result.json,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_005\test_labeled\data52\stdout.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_005\test_labeled\data52\stderr.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_005\test_labeled\data52\forensics_best_model__thr005__test_labeled__data52\hyp_low005.rttm,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_005\test_labeled\data52\forensics_best_model__thr005__test_labeled__data52\raw_low005.rttm
best_model,dustin,test_labeled,data52,dustin_1,3,0.0,ov0,0.15,785,1227,1227,1227,26.349473450290994,3.992133796279805,16.029133060886654,6.328206593124534,0.06546189814229748,0.2740740740740741,0.10568193410180557,False,,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_015\test_labeled\data52\result.json,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_015\test_labeled\data52\stdout.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_015\test_labeled\data52\stderr.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_015\test_labeled\data52\forensics_best_model__thr015__test_labeled__data52\hyp_low015.rttm,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_015\test_labeled\data52\forensics_best_model__thr015__test_labeled__data52\raw_low015.rttm
best_model,dustin,test_labeled,data52,dustin_1,3,0.0,ov0,0.25,785,1227,1227,1227,26.349473450290994,3.992133796279805,16.029133060886654,6.328206593124534,0.06546189814229748,0.2740740740740741,0.10568193410180557,False,,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_025\test_labeled\data52\result.json,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_025\test_labeled\data52\stdout.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_025\test_labeled\data52\stderr.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_025\test_labeled\data52\forensics_best_model__thr025__test_labeled__data52\hyp_low025.rttm,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_025\test_labeled\data52\forensics_best_model__thr025__test_labeled__data52\raw_low025.rttm
best_model,dustin,test_labeled,data52,dustin_1,3,0.0,ov0,0.35,785,1227,1227,1227,26.349473450290994,3.992133796279805,16.029133060886654,6.328206593124534,0.06546189814229748,0.2740740740740741,0.10568193410180557,False,,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_035\test_labeled\data52\result.json,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_035\test_labeled\data52\stdout.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_035\test_labeled\data52\stderr.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_035\test_labeled\data52\forensics_best_model__thr035__test_labeled__data52\hyp_low035.rttm,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_035\test_labeled\data52\forensics_best_model__thr035__test_labeled__data52\raw_low035.rttm
best_model,dustin,test_labeled,data52,dustin_1,3,0.0,ov0,0.45,785,1227,1227,1227,26.349473450290994,3.992133796279805,16.029133060886654,6.328206593124534,0.06546189814229748,0.2740740740740741,0.10568193410180557,False,,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_045\test_labeled\data52\result.json,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_045\test_labeled\data52\stdout.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_045\test_labeled\data52\stderr.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_045\test_labeled\data52\forensics_best_model__thr045__test_labeled__data52\hyp_low045.rttm,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_045\test_labeled\data52\forensics_best_model__thr045__test_labeled__data52\raw_low045.rttm
best_model,vif,test_labeled,data56,vif_1,4,0.0,ov0,0.05,625,704,704,704,6.809724529121475,2.8855340558661884,3.617341550482566,0.3068489227727205,0.0,0.0,0.0,False,,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_005\test_labeled\data56\result.json,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_005\test_labeled\data56\stdout.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_005\test_labeled\data56\stderr.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_005\test_labeled\data56\forensics_best_model__thr005__test_labeled__data56\hyp_low005.rttm,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_005\test_labeled\data56\forensics_best_model__thr005__test_labeled__data56\raw_low005.rttm
best_model,vif,test_labeled,data56,vif_1,4,0.0,ov0,0.15,625,704,704,704,6.809724529121475,2.8855340558661884,3.617341550482566,0.3068489227727205,0.0,0.0,0.0,False,,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_015\test_labeled\data56\result.json,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_015\test_labeled\data56\stdout.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_015\test_labeled\data56\stderr.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_015\test_labeled\data56\forensics_best_model__thr015__test_labeled__data56\hyp_low015.rttm,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_015\test_labeled\data56\forensics_best_model__thr015__test_labeled__data56\raw_low015.rttm
best_model,vif,test_labeled,data56,vif_1,4,0.0,ov0,0.25,625,704,704,704,6.809724529121475,2.8855340558661884,3.617341550482566,0.3068489227727205,0.0,0.0,0.0,False,,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_025\test_labeled\data56\result.json,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_025\test_labeled\data56\stdout.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_025\test_labeled\data56\stderr.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_025\test_labeled\data56\forensics_best_model__thr025__test_labeled__data56\hyp_low025.rttm,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_025\test_labeled\data56\forensics_best_model__thr025__test_labeled__data56\raw_low025.rttm
best_model,vif,test_labeled,data56,vif_1,4,0.0,ov0,0.35,625,704,704,704,6.809724529121475,2.8855340558661884,3.617341550482566,0.3068489227727205,0.0,0.0,0.0,False,,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_035\test_labeled\data56\result.json,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_035\test_labeled\data56\stdout.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_035\test_labeled\data56\stderr.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_035\test_labeled\data56\forensics_best_model__thr035__test_labeled__data56\hyp_low035.rttm,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_035\test_labeled\data56\forensics_best_model__thr035__test_labeled__data56\raw_low035.rttm
best_model,vif,test_labeled,data56,vif_1,4,0.0,ov0,0.45,625,704,704,704,6.809724529121475,2.8855340558661884,3.617341550482566,0.3068489227727205,0.0,0.0,0.0,False,,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_045\test_labeled\data56\result.json,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_045\test_labeled\data56\stdout.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_045\test_labeled\data56\stderr.log,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_045\test_labeled\data56\forensics_best_model__thr045__test_labeled__data56\hyp_low045.rttm,C:\ai_diarizen5090\code_val_pyantoe\eval_pyannote\threshold_sweep_report_pyannote\runs\thr_045\test_labeled\data56\forensics_best_model__thr045__test_labeled__data56\raw_low045.rttm
