sample_label,split,case_id,group_name,low_threshold,der,miss,fa,conf,ov_precision,ov_recall,ov_f1,pred_segments,ref_segments
chuyen_ho,test_labeled,data1,chuyen_ho,0.05,54.996143851089364,0.20167119901371633,52.44171747875961,2.3527551733160355,0.01344094823352215,0.6768342951360264,0.026358455734810177,866,632
chuyen_ho,test_labeled,data1,chuyen_ho,0.15,38.145358493688455,1.3972682508851295,34.10420239167723,2.643887851126104,0.02701754385964912,0.4443528441879637,0.050937957756461746,746,632
chuyen_ho,test_labeled,data1,chuyen_ho,0.25,32.74298069403655,3.889986626643328,26.22015358004775,2.6328404873454696,0.056253863589532244,0.22506183017312448,0.09000989119683481,713,632
chuyen_ho,test_labeled,data1,chuyen_ho,0.35,31.79304327623192,7.600796438334179,22.27662768144641,1.9156191564513327,0.001077586206896552,0.0008244023083264633,0.0009341429238673519,665,632
chuyen_ho,test_labeled,data1,chuyen_ho,0.45,32.14173006555585,11.359696130118383,19.57618843551341,1.2058454999240555,0.0,0.0,0.0,633,632
coi_moi,test_labeled,data19,coi_moi,0.05,96.39525362585026,0.577241911134031,91.04738284492815,4.7706288697881005,0.028238767381734333,0.9282227964398507,0.05481008044349883,1418,669
coi_moi,test_labeled,data19,coi_moi,0.15,62.516373242348614,2.9014758735886033,55.242018831410256,4.372878537349767,0.04362552260659411,0.7100200976169969,0.08220043210902443,1126,669
coi_moi,test_labeled,data19,coi_moi,0.25,51.035377756054245,6.232128710422339,40.356075346124015,4.4471736995079,0.05255300999268828,0.4952627045650302,0.09502299831988321,1028,669
coi_moi,test_labeled,data19,coi_moi,0.35,45.43547687264012,10.091504517814391,31.452129139274216,3.8918432155515186,0.06242403617093684,0.3686477174849268,0.10676866788624646,959,669
coi_moi,test_labeled,data19,coi_moi,0.45,43.495662647074376,14.870879052522454,24.62343977095552,4.0013438235963985,0.07098581981828989,0.24002296870513926,0.10956749672346003,934,669
dustin,test_labeled,data52,dustin_1,0.05,48.715610618633896,0.5413523912145995,45.11243645537986,3.0618217720394467,0.015921194227532357,0.6105820105820106,0.031033184531813057,1127,785
dustin,test_labeled,data52,dustin_1,0.15,30.264277772936047,1.6316366322548361,25.4359910301221,3.196650110559112,0.022219107030209576,0.33544973544973544,0.04167762292926637,917,785
dustin,test_labeled,data52,dustin_1,0.25,24.50884191241629,3.3983984178987554,17.70703383996658,3.403409654550952,0.040153119400553834,0.2608465608465608,0.06959345002823264,878,785
